task,episode,steps,dPlate,bowlz,maxlift,peaklift,pmove,refok,refpm,holdd,holdz,retq,btilt,bzmin,bimp,bpen,pmax,bpush,slip,ltilt,ikfail,rotacc,nclose,ok,distmax,distobj,strict,strict_why,close_q,d_x,d_y,tip_rim,hold_drift,lost_n,termhold,reject_n,ok013,ok020,ok030,ok050
0,1,26.0,0.0712,0.9144,0.0567,0.0567,0.0511,-1.0,0.0164,0.0199,0.9118,-1.0,41.9,0.898,6.0,0.0,0.0511,0.0,0.0847,41.9,0.0,0.3351,1.0,0.0,0.0075,cookies,0,,6,-0.015,-0.075,-0.019,0.0,2,1,0,0,1,1,1
0,10,22.0,0.0298,0.9123,0.0586,0.0586,0.0331,-1.0,0.0123,0.0134,0.9119,-1.0,36.3,0.898,4.0,0.0004,0.0331,0.0003,0.0801,36.3,0.0,0.2074,1.0,0.0,0.0098,cookies,0,,6,-0.026,-0.077,-0.033,0.0,1,1,0,0,1,1,1
0,11,14.0,0.0129,0.9119,0.0495,0.0495,0.0034,11.0,0.0034,0.013,0.9119,13.0,45.3,0.898,2.0,0.0001,0.0034,0.0001,0.0673,45.3,0.0,0.5,1.0,0.0,0.0,distractor_bowl,1,,6,-0.026,-0.078,-0.028,0.0,0,1,0,0,1,1,1
0,12,49.0,0.0131,0.9118,0.0942,0.0942,0.0181,48.0,0.0181,0.0131,0.9118,48.0,43.2,0.8978,11.0,0.0026,0.0211,0.0,0.1352,43.2,0.0,0.5,1.0,0.0,0.031,ramekin,0,dist=0.0310(ramekin,6,-0.022,-0.078,-0.014,0.0001,1,1,0,0,1,1,1
0,13,23.0,0.0164,0.9118,0.0534,0.0534,0.0352,12.0,0.0292,0.012,0.9119,-1.0,34.6,0.898,2.0,0.002,0.0292,0.0,0.0719,34.6,0.0,0.3098,1.0,0.0,0.0,ramekin,0,pmax=0.0292,6,-0.02,-0.075,-0.018,0.0,0,1,0,1,1,1,1
0,14,13.0,0.007,0.9118,0.0381,0.0381,0.0122,12.0,0.0122,0.007,0.9118,12.0,44.5,0.898,2.0,0.0001,0.0122,0.0,0.0726,44.5,0.0,0.5,1.0,0.0,0.0,ramekin,0,pmax=0.0122,7,-0.003,-0.067,-0.012,0.0,0,1,0,1,1,1,1
0,15,13.0,0.0081,0.9119,0.0556,0.0556,0.0077,11.0,0.0077,0.0081,0.9119,12.0,40.9,0.898,3.0,0.0,0.0077,0.0002,0.0717,40.9,0.0,0.5,1.0,0.0,0.0,ramekin,0,pmax=0.0077,6,-0.025,-0.079,-0.03,0.0001,0,1,0,1,1,1,1
0,16,45.0,0.0166,0.8981,0.0508,0.0508,0.1233,-1.0,0.0906,0.031,0.9074,-1.0,30.7,0.898,13.0,0.0139,0.1233,0.0,0.1019,30.7,0.0,0.5,1.0,0.0,0.0,ramekin,0,,6,-0.023,-0.076,-0.019,0.0025,1,1,0,0,0,0,1
0,17,150.0,0.04,0.9034,0.0568,0.0568,0.1275,-1.0,-1.0,-1.0,-1.0,-1.0,39.0,0.8979,31.0,0.0132,0.1276,0.0006,0.1263,39.0,0.0,0.5,1.0,0.0,0.0031,cookies,0,,6,-0.029,-0.079,-0.032,,0,0,0,0,0,0,0
0,18,30.0,0.039,0.9117,0.0604,0.0604,0.0192,19.0,0.0139,0.0194,0.9118,-1.0,40.8,0.898,5.0,0.0001,0.014,0.0001,0.0819,40.8,0.0,0.5,1.0,0.0,0.0,ramekin,0,pmax=0.0140,6,-0.028,-0.077,-0.022,0.0,0,1,0,0,1,1,1
0,19,37.0,0.0587,0.9247,0.0631,0.0631,0.0466,-1.0,0.0426,0.0418,0.9118,-1.0,48.8,0.898,7.0,0.0001,0.0466,0.0,0.0812,48.8,0.0,0.5,1.0,0.0,0.0,ramekin,0,,6,-0.02,-0.077,-0.012,0.0,1,1,0,0,0,0,1
0,2,38.0,0.0698,0.9117,0.0623,0.0623,0.0427,-1.0,0.0307,0.034,0.9118,-1.0,54.8,0.898,7.0,0.0002,0.0427,0.0,0.0615,54.8,0.0,0.5,1.0,0.0,0.0,ramekin,0,,6,-0.024,-0.074,-0.023,0.0,2,1,0,0,0,0,1
0,20,13.0,0.0127,0.912,0.044,0.044,0.0028,11.0,0.0028,0.0127,0.9119,12.0,40.2,0.898,3.0,0.0005,0.0039,0.0007,0.0623,40.2,0.0,0.5,1.0,0.0,0.0,ramekin,1,,6,-0.029,-0.079,-0.033,0.0001,0,1,0,1,1,1,1
0,21,14.0,0.0135,0.9119,0.0458,0.0458,0.0012,12.0,0.0012,0.0135,0.9119,13.0,34.6,0.898,2.0,0.0,0.0027,0.0023,0.0736,34.6,0.0,0.5,1.0,0.0,0.0,distractor_bowl,1,,6,-0.027,-0.08,-0.042,0.0,0,1,0,0,1,1,1
0,22,12.0,0.0101,0.9119,0.0396,0.0396,0.0021,11.0,0.0021,0.0101,0.9119,11.0,43.7,0.898,3.0,0.0,0.0022,0.0,0.0586,43.7,0.0,0.5,1.0,0.0,0.0,ramekin,1,,6,-0.025,-0.078,-0.027,0.0,0,1,0,1,1,1,1
0,23,89.0,0.0586,0.9121,0.0738,0.0738,0.0716,-1.0,0.0674,0.0289,0.912,-1.0,63.0,0.8979,13.0,0.0119,0.0731,0.0,0.1683,63.0,0.0,0.489,1.0,0.0,0.0098,ramekin,0,,6,-0.021,-0.08,-0.023,0.0002,1,1,0,0,0,1,1
0,24,22.0,0.0465,0.9133,0.0564,0.0564,0.0258,-1.0,0.0077,0.0123,0.912,-1.0,40.4,0.898,4.0,0.0,0.0258,0.0001,0.0691,40.4,0.0,0.2861,1.0,0.0,0.0,ramekin,0,,6,-0.024,-0.078,-0.024,0.0,1,1,0,1,1,1,1
0,25,12.0,0.0102,0.9119,0.0336,0.0336,0.0097,11.0,0.0097,0.0102,0.9119,11.0,43.0,0.898,1.0,0.0,0.0097,0.0,0.0647,43.0,0.0,0.5,1.0,0.0,0.0,ramekin,0,pmax=0.0097,6,-0.017,-0.083,-0.012,0.0,0,1,0,1,1,1,1
0,26,13.0,0.0161,0.912,0.0488,0.0488,0.0057,11.0,0.0057,0.0161,0.9119,12.0,40.2,0.898,3.0,0.0,0.0059,0.0,0.0638,40.2,0.0,0.5,1.0,0.0,0.0,distractor_bowl,0,pmax=0.0059,6,-0.023,-0.079,-0.024,0.0001,0,1,0,0,1,1,1
0,27,150.0,0.1083,0.8993,0.0702,0.0702,0.1621,-1.0,0.0766,0.0229,0.911,-1.0,50.3,0.8979,32.0,0.0139,0.1621,0.0,0.1257,50.3,3.0,0.5,1.0,0.0,0.0052,cookies,0,,7,-0.018,-0.064,-0.011,0.0094,0,0,1,0,0,1,1
0,28,13.0,0.0108,0.9119,0.053,0.053,0.0056,12.0,0.0056,0.0108,0.9119,12.0,40.3,0.898,1.0,0.0,0.0056,0.0,0.0691,40.3,0.0,0.5,1.0,0.0,0.0,ramekin,0,pmax=0.0056,6,-0.022,-0.081,-0.023,0.0,0,1,0,1,1,1,1
0,29,22.0,0.0271,0.9118,0.0571,0.0571,0.0114,-1.0,0.0078,0.0087,0.9119,-1.0,38.8,0.898,4.0,0.0019,0.0114,0.0,0.0705,38.8,0.0,0.3606,1.0,0.0,0.0,ramekin,0,,6,-0.026,-0.077,-0.022,0.0,1,1,0,1,1,1,1
0,3,150.0,0.1963,0.8979,0.05,0.05,0.0561,-1.0,-1.0,-1.0,-1.0,-1.0,39.8,0.8979,16.0,0.0139,0.0675,0.0,0.2145,39.8,0.0,0.4889,1.0,0.0,0.0074,cookies,0,,7,-0.007,-0.063,-0.011,,0,0,0,0,0,0,0
0,30,34.0,0.0275,0.9118,0.061,0.061,0.0108,-1.0,0.0086,0.0171,0.9118,-1.0,43.6,0.898,10.0,0.0001,0.0108,0.0,0.0724,43.6,0.0,0.2667,1.0,0.0,0.0,distractor_bowl,0,,6,-0.024,-0.072,-0.013,0.0,3,1,0,0,1,1,1
0,31,33.0,0.0185,0.9118,0.063,0.063,0.029,22.0,0.0283,0.0082,0.9117,-1.0,51.7,0.898,6.0,0.0007,0.0296,0.0044,0.0831,51.7,0.0,0.5,1.0,0.0,0.0,distractor_bowl,0,pmax=0.0296,7,-0.021,-0.073,-0.048,0.0,0,1,0,1,1,1,1
0,32,13.0,0.0182,0.9117,0.0601,0.0601,0.0049,11.0,0.0049,0.0182,0.9117,12.0,40.4,0.898,2.0,0.0002,0.0051,0.0003,0.0724,40.4,0.0,0.5,1.0,0.0,0.0,ramekin,0,pmax=0.0051,6,-0.024,-0.079,-0.033,0.0002,0,1,0,0,1,1,1
0,33,13.0,0.0215,0.912,0.0574,0.0574,0.0005,11.0,0.0005,0.0215,0.9121,12.0,40.0,0.898,3.0,0.0,0.0005,0.0002,0.0705,40.0,0.0,0.5,1.0,0.0,0.0,ramekin,1,,6,-0.023,-0.08,-0.025,0.0002,0,1,0,0,0,1,1
0,34,150.0,0.1317,0.898,0.0561,0.0561,0.226,-1.0,-1.0,-1.0,-1.0,-1.0,76.2,0.8979,33.0,0.0139,0.226,0.0,0.1598,76.2,1.0,0.5,1.0,0.0,0.0,distractor_bowl,0,,6,-0.019,-0.078,-0.024,,0,0,0,0,0,0,0
0,35,13.0,0.0114,0.9117,0.0548,0.0548,0.013,11.0,0.013,0.0114,0.9117,12.0,37.1,0.898,3.0,0.0001,0.013,0.0008,0.0667,37.1,0.0,0.5,1.0,0.0,0.0,ramekin,0,pmax=0.0130,6,-0.025,-0.078,-0.038,0.0,0,1,0,1,1,1,1
0,36,13.0,0.0178,0.9118,0.0504,0.0504,0.0026,11.0,0.0026,0.0178,0.9118,12.0,47.2,0.898,2.0,0.0001,0.0039,0.0,0.0599,47.2,0.0,0.5,1.0,0.0,0.0,distractor_bowl,1,,6,-0.025,-0.078,-0.021,0.0,0,1,0,0,1,1,1
0,37,40.0,0.0311,0.911,0.0339,0.0339,0.0661,29.0,0.049,0.011,0.9143,-1.0,51.0,0.8979,7.0,0.0009,0.0503,0.0,0.1229,51.0,0.0,0.5,1.0,0.0,0.0,ramekin,0,pmax=0.0503,6,-0.016,-0.075,-0.011,0.0014,0,1,0,1,1,1,1
0,38,13.0,0.0149,0.9116,0.04,0.04,0.0039,11.0,0.0039,0.0149,0.9116,12.0,45.6,0.898,2.0,0.0003,0.0039,0.0,0.0577,45.6,0.0,0.5,1.0,0.0,0.0,ramekin,1,,6,-0.025,-0.079,-0.024,0.0001,0,1,0,0,1,1,1
0,39,13.0,0.0162,0.9117,0.0429,0.0429,0.0027,11.0,0.0027,0.0162,0.9117,12.0,41.1,0.898,2.0,0.0002,0.0067,0.0,0.0712,41.1,0.0,0.5,1.0,0.0,0.0,ramekin,0,pmax=0.0067,6,-0.016,-0.076,-0.012,0.0,0,1,0,0,1,1,1
0,4,13.0,0.0203,0.9119,0.0506,0.0506,0.0172,12.0,0.0172,0.0203,0.9119,12.0,38.3,0.898,3.0,0.0,0.0172,0.0005,0.0699,38.3,0.0,0.5,1.0,0.0,0.0,distractor_bowl,0,pmax=0.0172,6,-0.028,-0.076,-0.032,0.0,0,1,0,0,0,1,1
0,40,25.0,0.0488,0.9118,0.0628,0.0628,0.0237,-1.0,0.0128,0.0265,0.912,-1.0,36.4,0.898,6.0,0.0001,0.0242,0.0003,0.0797,36.4,0.0,0.4199,1.0,0.0,0.0,ramekin,0,,6,-0.022,-0.077,-0.027,0.0,1,1,0,0,0,1,1
0,41,37.0,0.0156,0.8988,0.0471,0.0471,0.26,-1.0,0.035,0.0384,0.912,-1.0,34.7,0.898,14.0,0.0131,0.26,0.0005,0.0989,34.1,0.0,0.3829,1.0,0.0,0.1394,cookies,0,,6,-0.024,-0.076,-0.034,0.0003,1,1,0,0,0,0,1
0,42,23.0,0.0387,0.9176,0.0574,0.0574,0.0803,-1.0,0.042,0.0161,0.9117,-1.0,36.9,0.8979,4.0,0.0011,0.0803,0.001,0.0713,36.9,0.0,0.3136,1.0,0.0,0.0,ramekin,0,,6,-0.025,-0.077,-0.04,0.0,1,1,0,0,1,1,1
0,43,22.0,0.0675,0.8998,0.0595,0.0595,0.0389,-1.0,0.0084,0.0116,0.9118,-1.0,43.0,0.898,5.0,0.0,0.0389,0.0,0.0715,43.0,0.0,0.2686,1.0,0.0,0.0107,cookies,0,,6,-0.023,-0.075,-0.027,0.0,1,1,0,1,1,1,1
0,44,13.0,0.0048,0.912,0.0515,0.0515,0.0026,11.0,0.0026,0.0048,0.912,12.0,41.0,0.898,2.0,0.0,0.0047,0.0,0.062,41.0,0.0,0.5,1.0,0.0,0.0,ramekin,1,,6,-0.023,-0.079,-0.021,0.0,0,1,0,1,1,1,1
0,45,13.0,0.0088,0.9117,0.0486,0.0486,0.0112,11.0,0.0112,0.0088,0.9117,12.0,40.9,0.898,2.0,0.0002,0.0112,0.0001,0.0544,40.9,0.0,0.5,1.0,0.0,0.0,ramekin,0,pmax=0.0112,6,-0.027,-0.078,-0.017,0.0,0,1,0,1,1,1,1
0,46,13.0,0.0126,0.9119,0.0482,0.0482,0.006,11.0,0.006,0.0126,0.9119,12.0,38.0,0.898,2.0,0.0,0.0061,0.0002,0.0616,38.0,0.0,0.5,1.0,0.0,0.0,ramekin,0,pmax=0.0061,6,-0.027,-0.08,-0.025,0.0,0,1,0,1,1,1,1
