task,lane,episode,reach,target_x,target_y,distractor_x,distractor_y,close_q,d_x,d_y,d_xy,d_z,tip_rim,sel_target,steps,maxlift,slip,dPlate,holdd,holdz,bimp,bpen,pmax,pmove,refok,ikfail,rotacc,distmax,distobj,strict,termhold,lost
0,g,1,0.642,-0.05,0.2,-0.18087,0.31796,6,-0.022,-0.065,0.0686,0.032,-0.021,1,34.0,0.089,0.0914,0.044,0.0225,0.914,7.0,0.0005,0.026,0.0228,-1.0,0.0,0.3681,0.0,distractor_bowl,0,1,1
0,g,10,0.642,-0.05,0.2,-0.18087,0.31796,6,-0.025,-0.064,0.0687,0.037,-0.016,1,26.0,0.0889,0.0887,0.0035,0.0061,0.9119,4.0,0.0006,0.0059,0.0046,15.0,0.0,0.3905,0.0,distractor_bowl,0,1,0
0,g,11,0.642,-0.05,0.2,-0.18087,0.31796,6,-0.018,-0.064,0.0665,0.034,-0.019,1,150.0,0.0835,0.391,0.256,-1.0,-1.0,4.0,0.0,0.0422,0.0406,-1.0,0.0,0.5,0.0,distractor_bowl,0,0,0
0,g,12,0.642,-0.05,0.2,-0.18087,0.31796,5,-0.01,-0.065,0.0658,0.042,-0.011,1,150.0,0.0752,0.1429,0.0765,-1.0,-1.0,45.0,0.0139,0.1836,0.1836,-1.0,2.0,0.5,0.0037,cookies,0,0,0
0,g,13,0.642,-0.05,0.2,-0.18087,0.31796,5,-0.025,-0.065,0.0696,0.042,-0.011,1,30.0,0.0711,0.1062,0.0279,0.0251,0.9121,8.0,0.0001,0.012,0.0093,-1.0,0.0,0.2209,0.0,distractor_bowl,0,1,1
0,g,14,0.642,-0.05,0.2,-0.18087,0.31796,6,-0.027,-0.063,0.0685,0.031,-0.022,1,125.0,0.0701,0.0991,0.0275,0.0128,0.9075,21.0,0.0132,0.1959,0.1958,-1.0,0.0,0.5,0.0,distractor_bowl,0,1,1
0,g,15,0.642,-0.05,0.2,-0.18087,0.31796,6,-0.017,-0.065,0.0672,0.038,-0.015,1,28.0,0.0692,0.0524,0.0575,0.0391,0.9162,6.0,0.0001,0.0454,0.0454,-1.0,0.0,0.5,0.0,distractor_bowl,0,1,1
0,g,16,0.642,-0.05,0.2,-0.18087,0.31796,6,-0.029,-0.071,0.0767,0.013,-0.04,1,30.0,0.0709,0.0883,0.0158,0.0158,0.9119,6.0,0.0001,0.0172,0.0126,29.0,0.0,0.5,0.0,distractor_bowl,0,1,1
0,g,17,0.642,-0.05,0.2,-0.18087,0.31796,6,-0.024,-0.065,0.0693,0.03,-0.023,1,24.0,0.0882,0.0889,0.0066,0.0119,0.9131,2.0,0.0007,0.0049,0.0012,13.0,0.0,0.3684,0.0,distractor_bowl,1,1,0
0,g,18,0.642,-0.05,0.2,-0.18087,0.31796,6,-0.013,-0.06,0.0614,0.041,-0.012,1,150.0,0.0299,0.2517,0.2764,-1.0,-1.0,8.0,0.0001,0.0251,0.0159,-1.0,0.0,0.5,0.0094,cookies,0,0,0
0,g,19,0.642,-0.05,0.2,-0.18087,0.31796,6,-0.019,-0.063,0.0658,0.034,-0.019,1,25.0,0.0796,0.0795,0.0135,0.0135,0.917,5.0,0.0005,0.007,0.0051,-1.0,0.0,0.4958,0.0,distractor_bowl,0,1,1
0,g,2,0.642,-0.05,0.2,-0.18087,0.31796,6,-0.026,-0.059,0.0645,0.03,-0.023,1,150.0,0.0712,0.1302,0.1191,0.0269,0.9064,34.0,0.0139,0.2123,0.2123,-1.0,4.0,0.5,0.0,distractor_bowl,0,0,0
0,g,20,0.642,-0.05,0.2,-0.18087,0.31796,6,-0.022,-0.063,0.0667,0.036,-0.017,1,150.0,0.0787,0.0688,0.1251,0.0262,0.9198,19.0,0.0132,0.1972,0.1972,-1.0,561.0,0.5,0.0154,cookies,0,0,0
0,g,21,0.642,-0.05,0.2,-0.18087,0.31796,6,-0.025,-0.061,0.0659,0.022,-0.031,1,36.0,0.0519,0.08,0.0479,0.0095,0.9146,8.0,0.0084,0.0553,0.0553,-1.0,0.0,0.343,0.0,distractor_bowl,0,1,1
0,g,22,0.642,-0.05,0.2,-0.18087,0.31796,6,-0.026,-0.063,0.0682,0.029,-0.024,1,26.0,0.0843,0.0812,0.0063,0.0065,0.9118,3.0,0.0008,0.0336,0.0336,-1.0,0.0,0.4335,0.0,distractor_bowl,0,1,1
0,g,23,0.642,-0.05,0.2,-0.18087,0.31796,5,-0.023,-0.065,0.0689,0.04,-0.013,1,28.0,0.0751,0.0832,0.0338,0.0195,0.9115,5.0,0.0023,0.0115,0.0115,17.0,0.0,0.4477,0.0,distractor_bowl,1,1,0
0,g,24,0.642,-0.05,0.2,-0.18087,0.31796,6,-0.019,-0.062,0.0648,0.039,-0.014,1,26.0,0.0624,0.071,0.0688,0.0287,0.9119,6.0,0.0001,0.0548,0.0505,-1.0,0.0,0.4746,0.0,ramekin,0,1,2
0,g,25,0.642,-0.05,0.2,-0.18087,0.31796,6,-0.023,-0.064,0.068,0.029,-0.024,1,25.0,0.09,0.0881,0.0178,0.0178,0.912,4.0,0.0002,0.0088,0.0068,-1.0,0.0,0.4787,0.0,distractor_bowl,0,1,1
0,g,3,0.642,-0.05,0.2,-0.18087,0.31796,6,-0.032,-0.071,0.0779,0.014,-0.039,1,33.0,0.0668,0.0687,0.0759,0.0272,0.9118,7.0,0.0002,0.0265,0.0262,-1.0,0.0,0.5,0.0,distractor_bowl,0,1,1
0,g,4,0.642,-0.05,0.2,-0.18087,0.31796,6,-0.02,-0.063,0.0661,0.031,-0.022,1,27.0,0.0808,0.0815,0.0336,0.0202,0.9118,4.0,0.0008,0.0092,0.0033,16.0,0.0,0.5,0.0,ramekin,0,1,0
0,g,5,0.642,-0.05,0.2,-0.18087,0.31796,6,-0.021,-0.063,0.0664,0.03,-0.023,1,22.0,0.0511,0.0648,0.0283,0.0156,0.912,4.0,0.0,0.0089,0.0089,-1.0,0.0,0.2074,0.0,distractor_bowl,0,1,1
0,g,6,0.642,-0.05,0.2,-0.18087,0.31796,6,-0.02,-0.063,0.0661,0.041,-0.012,1,150.0,0.0713,0.1286,0.1512,-1.0,-1.0,30.0,0.0139,0.2161,0.2146,-1.0,0.0,0.5,0.0,distractor_bowl,0,0,0
0,g,7,0.642,-0.05,0.2,-0.18087,0.31796,5,-0.021,-0.066,0.0693,0.04,-0.013,1,31.0,0.0643,0.154,0.0616,0.018,0.9117,6.0,0.0003,0.0308,0.0226,-1.0,0.0,0.5,0.0,distractor_bowl,0,1,1
0,g,8,0.642,-0.05,0.2,-0.18087,0.31796,6,-0.017,-0.064,0.0662,0.041,-0.012,1,22.0,0.0728,0.0825,0.0004,0.0153,0.9117,4.0,0.001,0.0049,0.0048,-1.0,0.0,0.5,0.0,distractor_bowl,0,1,1
