set_id,difficulty,transport,path_clr,gap,azim,S2,S3,S5,S6,S7,S8,S9,S10,first_fail,maxlift,slip,distmax,holdd,bimp,bpen,steps,termhold,lost
01,easy,0.1834,0.1489,0.1489,2.48,1,1,1,1,1,1,0,0,S9,0.0601,0.0786,0.0,0.0255,11.0,0.0118,53.0,1,2
02,easy,0.1645,0.1501,0.1501,4.66,1,1,0,1,0,0,0,0,S5,0.0471,0.1319,0.0117,-1.0,13.0,0.0138,250.0,0,0
03,easy,0.1487,0.1731,0.1731,3.74,1,1,1,1,1,1,0,0,S9,0.0568,0.0597,0.0,0.0475,12.0,0.0009,65.0,1,1
04,easy,0.1501,0.1574,0.1574,5.47,1,0,1,1,0,1,1,0,S3,0.0609,0.0757,0.0075,0.0136,8.0,0.0003,65.0,1,1
05,easy,0.1753,0.1449,0.1449,2.42,1,1,1,1,1,1,0,0,S9,0.0603,0.0686,0.0,0.0495,9.0,0.0066,42.0,1,1
06,easy,0.159,0.1396,0.1396,4.77,1,1,1,1,0,1,1,1,S7,0.0406,0.0681,0.0173,0.0163,8.0,0.0021,37.0,1,0
07,easy,0.1493,0.1416,0.1416,3.03,1,1,1,1,1,0,0,0,S8,0.0709,0.0676,0.0,-1.0,37.0,0.0007,250.0,0,0
08,easy,0.1532,0.176,0.176,4.74,1,1,1,1,1,1,0,0,S9,0.0301,0.0755,0.0,0.0244,6.0,0.0137,44.0,1,1
09,easy,0.1462,0.1348,0.1348,5.51,1,1,1,1,0,0,0,0,S7,0.0537,0.0901,0.0382,-1.0,66.0,0.0118,250.0,0,0
10,easy,0.2249,0.1409,0.1409,-1.29,1,1,1,1,1,1,0,1,S9,0.0209,0.0659,0.0,0.0402,9.0,0.0097,52.0,1,0
11,easy,0.1623,0.1493,0.1493,3.47,1,1,1,1,1,0,0,0,S8,0.0722,0.0684,0.0,-1.0,60.0,0.0024,250.0,0,0
12,easy,0.1726,0.1427,0.1427,3.07,1,1,1,1,1,0,0,0,S8,0.0736,0.0896,0.0,-1.0,54.0,0.0101,250.0,0,0
13,easy,0.1949,0.1815,0.1815,1.64,1,1,1,1,1,1,1,1,pass,0.0655,0.0588,0.0,0.0151,8.0,0.0,47.0,1,0
14,easy,0.1731,0.154,0.154,2.36,1,1,1,1,1,1,1,0,S10,0.0525,0.0587,0.0,0.0341,6.0,0.0001,47.0,1,1
15,easy,0.1852,0.1355,0.1355,2.64,1,1,0,1,0,1,1,0,S5,0.0578,0.101,0.0125,0.0289,11.0,0.0011,50.0,1,1
16,easy,0.1546,0.1485,0.1485,4.21,1,1,1,1,1,0,0,0,S8,0.0547,0.066,0.0,-1.0,79.0,0.0116,250.0,0,0
17,easy,0.1666,0.1595,0.1595,3.05,1,1,1,1,1,0,0,0,S8,0.0665,0.0712,0.0,-1.0,48.0,0.008,250.0,0,0
18,easy,0.1628,0.1871,0.1871,4.47,1,1,1,1,1,1,0,0,S9,0.0763,0.0704,0.0,0.0394,66.0,0.0096,227.0,1,1
19,easy,0.1626,0.1425,0.1425,3.47,1,1,0,1,1,0,0,0,S5,0.0742,0.1852,0.0035,-1.0,32.0,0.0139,250.0,0,0
20,easy,0.15,0.1502,0.1502,3.97,1,1,1,1,1,0,0,0,S8,0.082,0.0665,0.0,-1.0,56.0,0.0091,250.0,0,0
21,hard,0.3207,0.0385,0.1362,-6.54,1,1,0,0,1,0,1,0,S5,0.0074,0.0097,0.0,-1.0,0.0,0.0,250.0,0,0
22,hard,0.32,0.0369,0.1496,-5.65,1,1,1,1,0,0,0,0,S7,0.049,0.0789,0.068,-1.0,41.0,0.0003,250.0,0,0
23,hard,0.3192,0.0032,0.1529,-6.78,1,1,1,1,1,1,1,1,pass,0.0517,0.0817,0.0,0.0231,5.0,0.0004,29.0,1,0
24,hard,0.344,0.0123,0.1475,-10.35,1,0,0,0,0,0,1,0,S3,0.0,0.3107,0.1315,-1.0,0.0,0.0,250.0,0,0
25,hard,0.3239,0.0205,0.1512,-6.49,1,1,0,0,0,0,1,0,S5,0.0161,0.4799,0.1766,-1.0,1.0,0.0,250.0,0,0
26,hard,0.2878,0.0691,0.1615,-3.99,1,1,0,1,1,0,0,0,S5,0.0943,0.8511,0.0008,-1.0,46.0,0.8996,250.0,0,0
27,hard,0.3273,0.0156,0.158,-6.41,1,1,0,0,1,0,1,0,S5,0.0084,0.0083,0.0032,-1.0,1.0,0.0,250.0,0,0
28,hard,0.3088,0.0431,0.1452,-5.79,1,1,1,1,0,0,0,0,S7,0.072,0.0685,0.0361,-1.0,31.0,0.0,250.0,0,0
29,hard,0.3172,0.049,0.1775,-6.03,1,1,1,1,1,1,1,0,S10,0.0787,0.071,0.0,0.0134,6.0,0.0019,28.0,1,1
30,hard,0.3158,0.0518,0.1718,-4.47,1,1,1,1,1,1,1,1,pass,0.0962,0.0836,0.0,0.0104,6.0,0.001,28.0,1,0
