set_id,difficulty,mean_disp,d_plate,d_cookies,d_target,cookies_between,d_target_cookies,d_target_plate,path_clearance,approach_azimuth_deg,reach_distance,S2,S3,S5,S6,S7,S8,S9,S10,first_fail,steps,d_xy,target_moved
1,easy,0.0538,0.0475,0.0682,0.0456,1,0.1166,0.2934,0.0778,-4.73,0.8385,1,0,0,0,0,0,0,0,S3,250,0.091,0.0
2,easy,0.026,0.0287,0.0259,0.0234,1,0.1359,0.2675,0.0449,-6.56,0.7819,1,1,0,1,0,1,1,1,S5,38,0.07,0.001
3,easy,0.0287,0.0309,0.0265,0.0288,1,0.1376,0.296,0.073,-3.53,0.8123,1,1,0,1,0,0,0,0,S5,147,0.061,0.019
4,easy,0.03,0.03,0.0185,0.0415,1,0.1377,0.316,0.0697,-5.75,0.8334,1,0,0,0,0,0,0,0,S3,250,0.084,0.007
5,easy,0.0305,0.035,0.0274,0.0293,1,0.1541,0.3242,0.0736,-7.05,0.8027,1,1,0,1,0,0,0,0,S5,250,0.067,0.001
6,easy,0.0769,0.0933,0.0884,0.0489,0,0.1481,0.1928,0.1333,-4.09,0.84,1,0,0,0,0,0,0,0,S3,250,0.086,0.013
7,easy,0.0402,0.0418,0.0382,0.0405,1,0.1184,0.2871,0.0124,-5.91,0.7543,1,1,1,1,0,0,0,0,S7,250,0.048,0.002
8,easy,0.0209,0.0218,0.0191,0.0218,1,0.1198,0.2606,0.0562,-4.04,0.8095,1,1,1,1,1,1,1,0,S10,43,0.057,0.011
9,easy,0.0188,0.0118,0.0177,0.0269,1,0.1208,0.275,0.0271,-4.54,0.819,1,1,1,1,0,1,0,1,S7,49,0.058,0.001
10,easy,0.0386,0.0307,0.0312,0.0539,1,0.1387,0.323,0.0449,-7.12,0.8384,1,0,0,0,0,0,0,0,S3,250,0.085,0.006
11,easy,0.0234,0.0217,0.0247,0.0239,1,0.1328,0.3015,0.0085,-5.77,0.8148,1,0,0,1,0,0,0,0,S3,250,0.085,0.02
12,easy,0.0464,0.044,0.0361,0.0589,0,0.1843,0.2982,0.119,-4.75,0.8519,1,0,0,1,0,0,0,0,S3,250,0.086,0.005
13,easy,0.0228,0.0189,0.0281,0.0214,1,0.1225,0.313,0.0586,-6.16,0.808,1,1,0,0,0,0,0,0,S5,250,0.074,0.013
14,easy,0.0683,0.0741,0.0744,0.0565,1,0.1389,0.3164,0.0452,-5.81,0.7375,1,0,0,0,0,0,0,0,S3,250,0.083,0.019
15,easy,0.0501,0.0526,0.0564,0.0413,1,0.1196,0.2489,0.0855,-3.94,0.7547,1,1,1,1,0,1,1,0,S7,38,0.053,0.0
16,easy,0.0383,0.0267,0.0313,0.0569,1,0.1166,0.2672,0.0184,-5.95,0.7375,1,1,0,1,0,0,0,0,S5,250,0.049,0.001
17,easy,0.0371,0.0472,0.041,0.0231,1,0.1352,0.2764,0.0264,-4.94,0.77,1,1,1,1,1,1,1,1,pass,42,0.052,0.003
18,easy,0.0291,0.0304,0.0244,0.0326,1,0.1508,0.2847,0.0603,-5.41,0.8254,1,0,0,0,0,0,0,0,S3,250,0.082,0.0
19,easy,0.0146,0.0192,0.0094,0.0153,1,0.1244,0.2844,0.0417,-5.04,0.8084,1,0,0,0,0,0,0,0,S3,250,0.098,0.04
20,easy,0.0,0.0,0.0,0.0,1,0.1166,0.2789,0.033,-5.06,0.7931,1,0,0,0,0,0,0,0,S3,250,0.1,0.059
21,hard,0.1567,0.1634,0.1373,0.1695,0,0.1511,0.2022,0.1511,7.25,0.7633,1,0,0,1,0,0,0,0,S3,250,0.106,0.047
22,hard,0.1472,0.1141,0.1992,0.1284,0,0.1761,0.2648,0.1091,3.81,0.7445,1,1,1,1,0,0,0,0,S7,250,0.045,0.003
23,hard,0.122,0.1404,0.1039,0.1215,0,0.1982,0.1928,0.1909,-5.82,0.672,1,1,1,1,1,1,1,1,pass,21,0.037,0.004
24,hard,0.1531,0.1762,0.1205,0.1626,0,0.173,0.2906,0.173,6.76,0.7716,1,1,1,1,0,0,0,0,S7,250,0.078,0.005
25,hard,0.1288,0.0947,0.1521,0.1398,0,0.1482,0.2396,0.1454,4.21,0.7263,1,1,1,1,1,0,0,0,S8,250,0.075,0.001
26,hard,0.2233,0.264,0.1472,0.2588,0,0.1295,0.3083,0.1001,11.02,0.8986,1,0,0,0,0,0,0,0,S3,250,0.244,0.0
27,hard,0.1169,0.1305,0.0818,0.1383,0,0.1715,0.2734,0.1671,-2.82,0.6577,1,1,1,1,0,0,0,0,S7,250,0.051,0.003
28,hard,0.1373,0.1636,0.1196,0.1287,0,0.1733,0.3178,0.1654,4.27,0.7839,1,0,0,1,0,0,0,0,S3,250,0.09,0.021
29,hard,0.1391,0.1708,0.1703,0.0763,0,0.1797,0.2092,0.1663,-2.94,0.8629,1,1,0,0,0,0,0,0,S5,250,0.062,0.002
30,hard,0.1205,0.1151,0.1078,0.1386,0,0.1742,0.3183,0.1403,-0.37,0.6679,1,1,1,1,1,1,0,1,S9,250,0.016,0.003
