set_id,difficulty,seed,plate_x,plate_y,cookies_x,cookies_y,target_x,target_y,distractor_x,distractor_y,mean_disp,d_plate,d_cookies,d_target,cookies_between,d_target_cookies,d_target_plate,d_cookies_plate,path_clearance,clearance_min,clearance_obj,approach_azimuth_deg,reach_distance,rank
20,easy,0,0.06,0.2,0.07,0.03,0.13,-0.07,-0.2671,-0.1311,0.0,0.0,0.0,0.0,1,0.1166,0.2789,0.1703,0.033,0.1166,cookies,-5.06,0.7931,1
19,easy,20279479,0.0419,0.1938,0.0638,0.0229,0.1453,-0.0711,-0.2671,-0.1311,0.0146,0.0192,0.0094,0.0153,1,0.1244,0.2844,0.1723,0.0417,0.1244,cookies,-5.04,0.8084,2
9,easy,20269709,0.0535,0.1902,0.0872,0.0343,0.1564,-0.0648,-0.2671,-0.1311,0.0188,0.0118,0.0177,0.0269,1,0.1208,0.275,0.1596,0.0271,0.1208,cookies,-4.54,0.819,3
8,easy,20268732,0.0462,0.1831,0.0546,0.0187,0.1475,-0.057,-0.2671,-0.1311,0.0209,0.0218,0.0191,0.0218,1,0.1198,0.2606,0.1647,0.0562,0.1198,cookies,-4.04,0.8095,4
13,easy,20273617,0.0681,0.2171,0.0606,0.0035,0.1433,-0.0868,-0.2671,-0.1311,0.0228,0.0189,0.0281,0.0214,1,0.1225,0.313,0.2137,0.0586,0.1225,cookies,-6.16,0.808,5
11,easy,20271663,0.0384,0.1979,0.0934,0.0379,0.1507,-0.0819,-0.2671,-0.1311,0.0234,0.0217,0.0247,0.0239,1,0.1328,0.3015,0.1691,0.0085,0.1328,cookies,-5.77,0.8148,6
2,easy,20262870,0.0571,0.1714,0.0444,0.0257,0.1168,-0.0893,-0.2671,-0.1311,0.026,0.0287,0.0259,0.0234,1,0.1359,0.2675,0.1463,0.0449,0.1359,cookies,-6.56,0.7819,7
3,easy,20263847,0.0572,0.2308,0.0446,0.0376,0.1507,-0.0501,-0.2671,-0.1311,0.0287,0.0309,0.0265,0.0288,1,0.1376,0.296,0.1937,0.073,0.1376,cookies,-3.53,0.8123,8
18,easy,20278502,0.0383,0.1788,0.0475,0.0206,0.1617,-0.0778,-0.2671,-0.1311,0.0291,0.0304,0.0244,0.0326,1,0.1508,0.2847,0.1584,0.0603,0.1508,cookies,-5.41,0.8254,9
4,easy,20264824,0.0821,0.2203,0.0695,0.0115,0.1692,-0.0835,-0.2671,-0.1311,0.03,0.03,0.0185,0.0415,1,0.1377,0.316,0.2092,0.0697,0.1377,cookies,-5.75,0.8334,10
5,easy,20265801,0.0873,0.2219,0.0433,0.024,0.1367,-0.0985,-0.2671,-0.1311,0.0305,0.035,0.0274,0.0293,1,0.1541,0.3242,0.2027,0.0736,0.1541,cookies,-7.05,0.8027,11
17,easy,20277525,0.0133,0.1936,0.087,0.0673,0.1072,-0.0663,-0.2671,-0.1311,0.0371,0.0472,0.041,0.0231,1,0.1352,0.2764,0.1462,0.0264,0.1352,cookies,-4.94,0.77,12
16,easy,20276548,0.036,0.1881,0.0391,0.0349,0.0735,-0.0765,-0.2671,-0.1311,0.0383,0.0267,0.0313,0.0569,1,0.1166,0.2672,0.1532,0.0184,0.1166,cookies,-5.95,0.7375,13
10,easy,20270686,0.0895,0.2084,0.0951,0.0115,0.172,-0.1039,-0.2671,-0.1311,0.0386,0.0307,0.0312,0.0539,1,0.1387,0.323,0.197,0.0449,0.1387,cookies,-7.12,0.8384,14
7,easy,20267755,0.1008,0.2091,0.107,0.0395,0.0903,-0.0777,-0.2671,-0.1311,0.0402,0.0418,0.0382,0.0405,1,0.1184,0.2871,0.1698,0.0124,0.1184,cookies,-5.91,0.7543,15
12,easy,20272640,0.1015,0.2146,0.0339,0.0291,0.1889,-0.0705,-0.2671,-0.1311,0.0464,0.044,0.0361,0.0589,0,0.1843,0.2982,0.1974,0.119,0.1843,cookies,-4.75,0.8519,16
15,easy,20275571,0.1125,0.1962,0.0142,0.0381,0.0929,-0.0519,-0.2671,-0.1311,0.0501,0.0526,0.0564,0.0413,1,0.1196,0.2489,0.1861,0.0855,0.1196,cookies,-3.94,0.7547,17
1,easy,20261893,0.0178,0.1782,0.0633,-0.0378,0.1756,-0.0692,-0.2671,-0.1311,0.0538,0.0475,0.0682,0.0456,1,0.1166,0.2934,0.2208,0.0778,0.1166,cookies,-4.73,0.8385,18
14,easy,20274594,-0.0072,0.2312,-0.0036,0.0408,0.0737,-0.0747,-0.2671,-0.1311,0.0683,0.0741,0.0744,0.0565,1,0.1389,0.3164,0.1905,0.0452,0.1389,cookies,-5.81,0.7375,19
6,easy,20266778,0.107,0.1194,0.0302,-0.0489,0.1779,-0.06,-0.2671,-0.1311,0.0769,0.0933,0.0884,0.0489,0,0.1481,0.1928,0.185,0.1333,0.1481,cookies,-4.09,0.84,20
