reach,lane,episode,target_x,target_y,close_q,d_x,d_y,d_xy,d_z,steps,maxlift,slip,holdd,bimp,bpen,refok,ikfail,distmax,termhold,lost
0.58,a,1,-0.081,-0.03,6,0.018,0.029,0.0341,0.024,58.0,0.0623,0.0681,0.0499,8.0,0.0009,-1.0,0.0,0.0098,1,1
0.58,a,10,-0.081,-0.03,6,0.011,0.027,0.0292,0.023,28.0,0.0524,0.0685,0.0384,6.0,0.0006,17.0,0.0,0.0,1,0
0.58,a,2,-0.081,-0.03,5,0.023,0.02,0.0305,0.035,36.0,0.0625,0.0823,0.0343,5.0,0.0007,25.0,0.0,0.0,1,0
0.58,a,3,-0.081,-0.03,5,0.02,0.02,0.0283,0.04,28.0,0.0584,0.0827,0.0427,5.0,0.0008,17.0,0.0,0.0,1,0
0.58,a,4,-0.081,-0.03,6,0.009,0.025,0.0266,0.025,43.0,0.0608,0.0603,0.0406,6.0,0.0006,32.0,0.0,0.0,1,2
0.58,a,5,-0.081,-0.03,6,0.027,0.026,0.0375,0.028,250.0,0.0576,0.0753,-1.0,17.0,0.0142,-1.0,3.0,0.0516,0,0
0.58,a,6,-0.081,-0.03,6,0.011,0.02,0.0228,0.025,32.0,0.0592,0.0679,0.0366,7.0,0.0009,21.0,0.0,0.0,1,0
0.58,a,7,-0.081,-0.03,5,0.016,0.023,0.028,0.038,30.0,0.06,0.0747,0.0431,6.0,0.0007,19.0,0.0,0.0,1,0
0.58,a,8,-0.081,-0.03,6,0.022,0.024,0.0326,0.027,46.0,0.0404,0.0701,0.037,12.0,0.0007,-1.0,0.0,0.0,1,2
0.58,a,9,-0.081,-0.03,5,0.035,0.021,0.0408,0.035,28.0,0.0676,0.0784,0.0276,7.0,0.0006,17.0,0.0,0.0,1,0
0.58,b,1,-0.081,-0.03,6,0.01,0.023,0.0251,0.024,30.0,0.0551,0.0633,0.0268,6.0,0.0013,19.0,0.0,0.0,1,0
0.58,b,10,-0.081,-0.03,5,0.019,0.02,0.0276,0.037,55.0,0.0554,0.076,0.0406,10.0,0.0008,44.0,0.0,0.0,1,0
0.58,b,2,-0.081,-0.03,5,0.013,0.021,0.0247,0.038,29.0,0.0542,0.0722,0.0233,5.0,0.0007,18.0,0.0,0.0,1,0
0.58,b,3,-0.081,-0.03,6,0.031,0.033,0.0453,0.024,45.0,0.0591,0.0651,0.0362,8.0,0.0003,34.0,0.0,0.0,1,0
0.58,b,4,-0.081,-0.03,5,0.018,0.022,0.0284,0.041,28.0,0.0562,0.0732,0.0377,6.0,0.0006,17.0,0.0,0.0,1,0
0.58,b,5,-0.081,-0.03,5,0.019,0.019,0.0269,0.039,26.0,0.0594,0.0821,0.0339,4.0,0.0006,-1.0,0.0,0.0038,1,1
0.58,b,6,-0.081,-0.03,5,0.008,0.02,0.0215,0.038,32.0,0.0586,0.0773,0.0292,8.0,0.0007,-1.0,0.0,0.008,1,1
0.58,b,7,-0.081,-0.03,6,0.025,0.026,0.0361,0.027,31.0,0.0553,0.064,0.0491,4.0,0.0003,20.0,0.0,0.0,1,0
